key_name,en,comment
ADD_ANNOTATION,Add Annotation,
ANNOTATION_DESCRIPTION_TOOLTIP,Additional details or context about this annotation,
ANNOTATION_LABEL_TOOLTIP,Short identifier displayed on the annotation hotspot,
ANNOTATION_TITLE_TOOLTIP,Main heading for the annotation,
ANNOTATIONS,Annotations,
AR,AR,Augmented Reality
ARROW_KEYS,Arrow Keys,
AUTO_ROTATE,Auto Rotate,
BOUNDED_FLY,Bounded-fly,
CAMERA_FOCUS_POINT,Focus Point,
CAMERA_INFO,Camera Info,
CAMERA_POSITION,Position,
CANCEL,Cancel,
CHOOSE_FILE,Choose File...,
CONTROLS,Controls,
CTRL,Ctrl,
DELETE_ANNOTATION,Delete Annotation,
DESCRIPTION,Description,
DESELECT_ANNOTATION,Deselect Annotation,
EDIT,Edit,
EDIT_ANNOTATION,Edit Annotation,
EXISTING,Existing,
FILE_SELECTED,File Selected,
FLY,Fly,
FLY_FASTER,Fly faster,
FLY_SLOWER,Fly slower,
FREE_FLY,Free-fly,
IMAGES,Images,
LABEL,Label,
LEFT_MOUSE,Left Mouse,
LOOK,Look,
MIDDLE_MOUSE,Middle Mouse,
MOUSE_WHEEL,Mouse Wheel,
NEW,New,
ORBIT,Orbit,
PAN,Pan,
PINCH,Pinch,
REPLACE_FILE,Replace File...,
RESET_CAMERA,Reset Camera,
RIGHT_MOUSE,Right Mouse,
SAVE,Save,
SHIFT,Shift,
SWIPE,Swipe,
TITLE,Title,
TOUCH_DRAG,Touch + Drag,
UPLOAD_FILES,Upload Files,
UPLOAD_FILES_DESCRIPTION,Browse or drag and drop files.,
VR,VR,Virtual Reality
ZOOM,Zoom,
